trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 1, 'e': 0.37723664692350417}",20,0,-57.56056765968866,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
98,False,"{'a': 1, 'e': 0.37346428045426916}",20,4,-47.28341207201158,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 1, 'e': 0.36972963764972644}",20,8,10.817119983352642,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 1, 'e': 0.3660323412732292}",20,8,-17.310495136833303,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 1, 'e': 0.3623720178604969}",20,0,-69.83460773274386,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
102,False,"{'a': 1, 'e': 0.3587482976818919}",25,19,3.3814084456617293,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 1, 'e': 0.355160814705073}",25,8,-103.51351874886608,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 3}",1
104,False,"{'a': 1, 'e': 0.35160920655802225}",20,3,-3.534097020940953,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 1, 'e': 0.348093114492442}",25,16,-68.16828333629621,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
106,False,"{'a': 1, 'e': 0.3446121833475176}",25,16,-6.09866507583601,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 1, 'e': 0.34116606151404244}",25,0,-43.889559491670404,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 1, 'e': 0.337754400898902}",30,0,-59.854998844219516,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 1, 'e': 0.334376856889913}",20,12,1.0054090109389762,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 1, 'e': 0.33103308832101386}",25,0,-16.269037734591304,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 1, 'e': 0.3277227574378037}",20,2,-3.4229583365919116,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 1, 'e': 0.3244455298634257}",20,12,4.196482810338526,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 1, 'e': 0.3212010745647914}",20,8,-53.8953759547803,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
114,False,"{'a': 1, 'e': 0.3179890638191435}",25,0,-2.598812814294648,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
115,False,"{'a': 1, 'e': 0.31480917318095203}",30,15,-15.726096915650256,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 1, 'e': 0.3116610814491425}",25,0,-37.029646993057575,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
117,False,"{'a': 1, 'e': 0.30854447063465107}",20,11,-11.00827404138336,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 1, 'e': 0.3054590259283046}",25,11,5.364133252190438,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 1, 'e': 0.30240443566902153}",30,20,9.036715324863346,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 1, 'e': 0.2993803913123313}",20,10,-28.30256903206112,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 1, 'e': 0.296386587399208}",20,12,15.222077321658073,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 1, 'e': 0.2934227215252159}",20,0,5.834851100987023,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
123,False,"{'a': 1, 'e': 0.29048849430996376}",20,6,13.664574157293991,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 1, 'e': 0.2875836093668641}",20,0,-93.94273434505979,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",1
125,False,"{'a': 1, 'e': 0.28470777327319546}",20,6,-23.976830757044954,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
126,False,"{'a': 1, 'e': 0.2818606955404635}",30,16,-3.2906673338593344,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 1, 'e': 0.27904208858505886}",20,0,8.99856324620464,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 1, 'e': 0.2762516676992083}",20,2,-69.22572409599255,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
129,False,"{'a': 1, 'e': 0.2734891510222162}",20,0,-46.29445315954032,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
130,False,"{'a': 1, 'e': 0.27075425951199406}",20,5,22.517038302891283,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 1, 'e': 0.2680467169168741}",20,8,-18.60062564806767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 1, 'e': 0.26536624974770534}",20,0,-25.428102084261045,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 1, 'e': 0.2627125872502283}",20,0,-18.678696613828382,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
134,False,"{'a': 1, 'e': 0.26008546137772603}",30,11,-38.28663004804753,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 1, 'e': 0.25748460676394874}",20,12,0.6297375022069305,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
